tool_slug,official_pricing_source,http_status,source_response,prices_found_count,prices_found,page_title,manual_plan_validation
opusclip,https://www.opus.pro/pricing,200,yes,10,"$2,70 | $ 15 | $15 | $ 29 | $ 14.5 | $ 174 | $0 | $ 8.4 | $15/mo | $29/mo",Pricing - OpusClip,required
munch,https://go.getmunch.com/solutions/social-media-managers,,no,0,,,required
vidyo-ai,https://quso.ai/pricing,200,yes,7,$0 /mo | $29 /mo | $19/mo | $39 /mo | $26/mo | $49 /mo | $33/mo,Pricing — quso.ai,required
klap,https://klap.app/pricing,200,yes,3,$14 /mo | $39 /mo | $94 /mo,"Klap Pricing | Plans for Creators, Teams & API Users",required
submagic,https://www.submagic.co/pricing,200,yes,44,$19 | $38 | $39 | $58 | $40 /month | $120 /month | $69 | $88 | $75/mo | $0.15 / min | $150/mo | $300/mo | $500/mo | $0.10 / min | $1000/mo | $12 | $24 | $84 | $23 | $35 | $192 | $41 | $53 | $336 | € 38 | € 58 | € 88 | € 24 | € 35 | € 53 | $ 79 | $ 158 | $ 159 | $ 238 | $ 279 | $0 /month | $ 39 | $ 78 | $ 480 | $ 118 | $ 960 | $ 139 | $ 178 | $ 1680,Pricing for Submagic,required
autoshorts,https://autoshorts.ai/pricing,404,no,0,,AutoShorts.ai | #1 Faceless Video Generator for TikTok & YouTube,required
pictory,https://pictory.ai/pricing,200,yes,25,$25 per Month | $210 | $ 25 | $29 per month | $ 35 | $59 per month | $ 119 | $199 per month | $ 29 per month | $ 59 per month | $ 199 per month | $ 25 /month | $ 35 /month | $ 11 | $4614 | $35 | $150 | $3600 | $300 | $84 | $480 | $35 per month | $4374 | $59 | $35/month,Pictory Pricing | From $25 per Month,required
invideo,https://invideo.io/pricing/,200,yes,0,,Pricing | invideo AI,required
clipchamp,https://clipchamp.com/en/pricing/,200,yes,0,,Compare free editing tools and premium access with Microsoft 365,required
capcut,https://www.capcut.com/pricing,404,no,0,,404 Not Found,required
runway,https://runway.com/pricing,200,yes,11,$12/month | $0 /month | $36/year | $15 | $12 /month | $84/year | $35 | $28 /month | $228/year | $95 | $76 /month,AI Image and Video Pricing from $12/month | Runway AI,required
descript,https://www.descript.com/pricing,200,yes,6,$16 | $24 | $35 | $50 | $65 | $0,"Descript Pricing | Plans for Every Creator, Free to Start",required
filmora,https://filmora.wondershare.com/shop/buy/buy-video-editor.html,200,yes,4,US$ 49.99 /yr | US$ 59.99 /yr | US$ 69.99 | US$ 79.99,Buy Wondershare Filmora Official Online Shop,required
veed,https://www.veed.io/pricing,200,yes,0,,Pricing - VEED.IO,required
adobe-premiere-pro,https://www.adobe.com/products/premiere.html,,no,0,,,required
davinci-resolve,https://www.blackmagicdesign.com/products/davinciresolve,200,yes,34,"$295 | $435 | $559 | $669 | $2,31 | $34,66 | $3,52 | $5,16 | $24,74 | $33,74 | $44,99 | $55,12 | $475 | $445 | $4,69 | $2,87 | $5,22 | $1,52 | $9,67 | $10,79 | $13,98 | $14,62 | $315 | $425 | $705 | $819 | $939 | $275 | $289 | $225 | $479 | $235 | $1,29 | $2,79",DaVinci Resolve | Blackmagic Design,required
